id;name;born
1;Martin Brest;1951
2;Brian De Palma;1940
3;Francis Ford Coppola;1939
4;Ridley Scott;1937
5;Taylor Hackford;1944
6;Quentin Tarantino;1963
7;Christopher Nolan;1970
8;Martin Scorsese;1942
9;Steven Spielberg;1946
10;James Cameron;1954
11;Baz Luhrmann;1962
12;Damien Chazelle;1985
13;John Requa;1967
14;Glenn Ficarra;1971
15;David Ayer;1968
16;Niels Arden Oplev;1961
17;Jason Reitman;1977
18;Michael Cristofer;1945
19;James Mangold;1963
20;Louis Leterrier;1973
21;Doug Liman;1965
22;Phillip Noyce;1950
23;Clint Eastwood;1930
24;David Fincher;1962
25;Steven Soderbergh;1963
26;David Frankel;1959
27;Guy Ritchie;1968
28;Sylvester Stallone;1946
29;Corey Yuen;1951
30;Morten Tyldum;1967
31;Joe Wright;1972
32;James Kent;1962
33;Marc Webb;1974
34;Stephen Sommers;1962
35;Florian Henckel von Donnersmarck;1973
